serial_no,video_link,category,begin_time_stamp_in_min,end_time_stamp_in_min,,category
CholeCystectomy_208,https://www.youtube.com/watch?v=HAaVQYBNcMA&ab_channel=WUSTLLearnSurgery,CholeCystectomy,"7,20","29,10",,CholeCystectomy
Colectomy_209,https://www.youtube.com/watch?v=a4CL5D8e3R0&ab_channel=MountSinaiHealthSystem,Colectomy,"0,40","4,45",,Colectomy
Colectomy_210,https://www.youtube.com/watch?v=wcdgicJ5uLk&ab_channel=ColorectalDiseaseJournal,Colectomy,"1,20","9,20",,Colectomy
HemiColectomy_211,https://www.youtube.com/watch?v=OD9NcVLhgSA&ab_channel=ColorectalDiseaseSurgery,HemiColectomy,"4,05","12,40",,HemiColectomy
Colectomy_212,https://www.youtube.com/watch?v=M1zY1eTTm60&ab_channel=ColorectalDiseaseSurgery,Colectomy,"0,55","4,10",,Colectomy
Abdominal Resection_213,https://www.youtube.com/watch?v=5lmgbgTthZ8&ab_channel=Dr.AtulMishra,Abdominal Resection,"1,05","9,35",,Abdominal Resection
Anterior Resection_214,https://www.youtube.com/watch?v=spJKtqKjYb0&ab_channel=ColorectalDiseaseJournal,Anterior Resection,"1,05","8,40",,Anterior Resection
Anterior Resection_215,https://www.youtube.com/watch?v=LpzxfMRlBVk&ab_channel=MarkSoliman%2CMD%2CFACS%2CFASCRS,Anterior Resection,"0,55","37,00",,Anterior Resection
Anterior Resection_216,https://www.youtube.com/watch?v=kDIF8kshEVM&ab_channel=MarkSoliman%2CMD%2CFACS%2CFASCRS,Anterior Resection,"5,45","18,30",,Anterior Resection
Anterior Resection_217,https://www.youtube.com/watch?v=HprLy4hUrcM&ab_channel=MarkSoliman%2CMD%2CFACS%2CFASCRS,Anterior Resection,"5,25","10,20",,Anterior Resection
Anterior Resection_218,https://www.youtube.com/watch?v=M84LBL6H7xc&ab_channel=MarkSoliman%2CMD%2CFACS%2CFASCRS,Anterior Resection,"4,45","19,20",,Anterior Resection
Anterior Resection_219,https://www.youtube.com/watch?v=OP-Mqxb_uNE&ab_channel=MarkSoliman%2CMD%2CFACS%2CFASCRS,Anterior Resection,"0,50","5,00",,Anterior Resection
Hysterectomy_220,https://www.youtube.com/watch?v=zprVf7hETcw&ab_channel=BonSecoursSt.FrancisHealthSystem,Hysterectomy,"1,30","16,55",,Hysterectomy
Colectomy_221,https://www.youtube.com/watch?v=aZwZd4ZUeM8&ab_channel=ColorectalDiseaseJournal,Colectomy,"1,05","6,55",,Colectomy
splenic_artery_222,https://www.youtube.com/watch?v=F5VbJuLq-n4&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,splenic_artery,"0,55","7,00",,splenic_artery
Colectomy_223,https://www.youtube.com/watch?v=ibPIOa5sARA&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,Colectomy,"0,00","11,15",,Colectomy
Colectomy_224,https://www.youtube.com/watch?v=zzzmOOC6L0A&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,Colectomy,"0,05","26,20",,Colectomy
Colectomy_225,https://www.youtube.com/watch?v=46P4A82qhYU&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,Colectomy,"0,00","6,45",,Colectomy
Colectomy_226,https://www.youtube.com/watch?v=C5eW4RySjys&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,Colectomy,"0,00","20,00",,Colectomy
Colectomy_227,https://www.youtube.com/watch?v=5jl-2fElhD4&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,Colectomy,"0,00","18,35",,Colectomy
Colectomy_228,https://www.youtube.com/watch?v=CLSdP-vyPGE&ab_channel=ColorectalDiseaseJournal,Colectomy,"0,45","8,40",,Colectomy
Colectomy_229,https://www.youtube.com/watch?v=lsybwDeWlAc&ab_channel=ColorectalDiseaseJournal,Colectomy,"0,20","9,40",,Colectomy
Colectomy_230,https://www.youtube.com/watch?v=xDfAz6JmXfc&ab_channel=ColorectalDiseaseJournal,Colectomy,"1,15","7,45",,Colectomy
Tympanoplasty_231,https://www.youtube.com/watch?v=uHNMcKFet7k&ab_channel=IcahnSchoolofMedicine,Tympanoplasty,"1,55","6,45",,Tympanoplasty
Tympanoplasty_232,https://www.youtube.com/watch?v=j157nk-W2Ng&ab_channel=DrRobertVincent,Tympanoplasty,"10,00","29,15",,Tympanoplasty
pancreatectomy_233,https://www.youtube.com/watch?v=9VFoXHPOU8k&ab_channel=BrighamAndWomen%27sHospital,pancreatectomy,"9,15","19,20",,Pancreatectomy
Prostatectomy_234,https://www.youtube.com/watch?v=56Jav9AolC0&ab_channel=BrighamAndWomen'sHospital,Prostatectomy,"2,40","24,55",,Prostatectomy
pyeloplasty_235,https://www.youtube.com/watch?v=I29MEPzWzNk&ab_channel=AsianInstituteofNephrology%26Urology,pyeloplasty,"6,10","44,05",,Pyeloplasty
Adrenalectomy_236,https://www.youtube.com/watch?v=z4goq6UNVRM&ab_channel=AsianInstituteofNephrology%26Urology,Adrenalectomy,"0,10","25,05",,Adrenalectomy
Hysterectomy_237,https://www.youtube.com/watch?v=otVVb9vhQMU&ab_channel=ashwinthangavelu,Hysterectomy,"0,15","17,25",,Hysterectomy
Hysterectomy_238,https://www.youtube.com/watch?v=OOdbhFFKJ7o&ab_channel=ashwinthangavelu,Hysterectomy,"0,10","6,20",,Hysterectomy
Hysterectomy_239,https://www.youtube.com/watch?v=Z6uW-qD39Yg&ab_channel=DrSanketPisat,Hysterectomy,"0,50","27,10",,Hysterectomy
Hysterectomy_240,https://www.youtube.com/watch?v=ua_o3qPNpMc&ab_channel=DrArchitPanditMinimallyInvasiveCancerSurgeon,Hysterectomy,"1,05","25,35",,Hysterectomy
Hysterectomy_241,https://www.youtube.com/watch?v=BsIIHyuacIo&ab_channel=UnityPointHealth-CedarRapids,Hysterectomy,"9,50","48,30",,Hysterectomy
appendectomy_242,https://www.youtube.com/watch?v=BakAQ68bDVc&rco=1,appendectomy,"31,05","1,15,20",,Appendectomy
Oophoropexy_243,https://www.youtube.com/watch?v=z5MHGDkzG24&rco=1,Oophoropexy,"0,10","2,50",,Oophoropexy
Oophoropexy_244,https://www.youtube.com/watch?v=Tt6mpP_Svxo&rco=1,Oophoropexy,"1,00","6,30",,Oophoropexy
Oophoropexy_245,https://www.youtube.com/watch?v=N8GEm87NoZU&rco=1,Oophoropexy,"0,40","2,30",,Oophoropexy
Oophoropexy_246,https://www.youtube.com/watch?v=SCU_itYP0hE&rco=1,Oophoropexy,"0,20","3,30",,Oophoropexy
Oophoropexy_247,https://www.youtube.com/watch?v=lLtzDken6jo&rco=1,Oophoropexy,"1,40","6,00",,Oophoropexy
Oophoropexy_248,https://www.youtube.com/watch?v=ZAyLprTK0Dg&rco=1,Oophoropexy,"0,10","6,30",,Oophoropexy
Oophoropexy_249,https://www.youtube.com/watch?v=XhnRlPnocEM&rco=1,Oophoropexy,"0,05","2,50",,Oophoropexy
Oophoropexy_250,https://www.youtube.com/watch?v=k51YDYB3zSQ,Oophoropexy,"1,10","4,10",,Oophoropexy
Oophoropexy_251,https://www.youtube.com/watch?v=k51YDYB3zSQ&rco=1,Oophoropexy,"1,15","4,10",,Oophoropexy
Oophoropexy_252,https://www.youtube.com/watch?v=NNWnBtrOVh0&rco=1,Oophoropexy,"2,00","6,40",,Oophoropexy
Oophoropexy_253,https://www.youtube.com/watch?v=e0VnDcK_kPY&rco=1,Oophoropexy,"0,00","3,50",,Oophoropexy
Oophoropexy_254,https://www.youtube.com/watch?v=CF1pYCMqhmQ&rco=1,Oophoropexy,"0,40","4,50",,Oophoropexy
Oophoropexy_255,https://www.youtube.com/watch?v=V0SXtLOQecQ&rco=1,Oophoropexy,"0,20","3,25",,Oophoropexy
Oophoropexy_256,https://www.youtube.com/watch?v=hdiU86IuIIY&rco=1,Oophoropexy,"0,00","8,20",,Oophoropexy
Oophoropexy_257,https://www.youtube.com/watch?v=1SJbraJYwLo&rco=1,Oophoropexy,"2,00","5,40",,Oophoropexy
Oophoropexy_258,https://www.youtube.com/watch?v=z5MHGDkzG24&list=PLjNaF9eMdX2KqE4XD2lLt1HFm8hUA9CfL&rco=1,Oophoropexy,"0,10","2,50",,Oophoropexy
Oophoropexy_259,https://www.youtube.com/watch?v=pjtm2YNwEk8&rco=1,Oophoropexy,"0,25","2,10",,Oophoropexy
Oophoropexy_260,https://www.youtube.com/watch?v=X4ef_l0zGy0&rco=1,Oophoropexy,"1,00","55,00",,Oophoropexy
Oophoropexy_261,https://www.youtube.com/watch?v=o8tgMJW3f3I&rco=1,Oophoropexy,"0,20","2,20",,Oophoropexy
Endometriomas_262,https://www.youtube.com/watch?v=_aF42rYVyng&rco=1,Endometriomas,"1,20","5,20",,Endometriomas
Endometriomas_263,https://www.youtube.com/watch?v=ggGuD1btV4c&rco=1,Endometriomas,"0,40","6,20",,Endometriomas
Endometriomas_264,https://www.youtube.com/watch?v=83KhlDhM3qc&rco=1,Endometriomas,"0,20","4,50",,Endometriomas
Endometriomas_265,https://www.youtube.com/watch?v=kkz1AUtaPu0&rco=1,Endometriomas,"0,05","2,30",,Endometriomas
Endometriomas_266,https://www.youtube.com/watch?v=bi16ZxuImZY&rco=1,Endometriomas,"0,55","12,00",,Endometriomas
Endometriomas_267,https://www.youtube.com/watch?v=Wdw5RojnKV8&rco=1,Endometriomas,"0,05","2,30",,Endometriomas
Endometriomas_268,https://www.youtube.com/watch?v=6Qvuc3UHE2U&rco=1,Endometriomas,"0,00","5,00",,Endometriomas
Endometriomas_269,https://www.youtube.com/watch?v=ltiZ2-xkT_w&rco=1,Endometriomas,"0,30","5,50",,Endometriomas
Endometriomas_270,https://www.youtube.com/watch?v=IlZ3aWkYPHU&rco=1,Endometriomas,"3,50","10,00",,Endometriomas
Endometriomas_271,https://www.youtube.com/watch?v=zOKzY7dEleA&rco=1,Endometriomas,"0,20","4,00",,Endometriomas
Endometriomas_272,https://www.youtube.com/watch?v=qxw98ojKJcw&rco=1,Endometriomas,"0,20","25,40",,Endometriomas
Endometriomas_273,https://www.youtube.com/watch?v=TJSgIrvUQr8&t=40s,Endometriomas,"0,00","11,00",,Endometriomas
Endometriomas_274,https://www.youtube.com/watch?v=ve3Z5Fh98_E,Endometriomas,"13,30","38,00",,Endometriomas
Endometriomas_275,https://www.youtube.com/watch?v=W1-PjWW32W4&rco=1,Endometriomas,"0,10","3,20",,Endometriomas
Endometriomas_276,https://www.youtube.com/watch?v=GE91p58izc8&rco=1,Endometriomas,"1,30","6,50",,Endometriomas
Endometriomas_277,https://www.youtube.com/watch?v=36LaaXIM2qE&rco=1,Endometriomas,"1,00","3,20",,Endometriomas
Endometriomas_278,https://www.youtube.com/watch?v=iRTX8uQXYPE&rco=1,Endometriomas,"0,05","7,30",,Endometriomas
Endometriomas_279,https://www.youtube.com/watch?v=mCEL8IEfOn8&rco=1,Endometriomas,"1,40","11,20",,Endometriomas
Endometriomas_280,https://www.youtube.com/watch?v=02CHzrmP1fY&rco=1,Endometriomas,"0,10","4,00",,Endometriomas
Endometriomas_281,https://www.youtube.com/watch?v=Vvwzrc99dG4,Endometriomas,"0,10","7,10",,Endometriomas
Endometriomas_282,https://www.youtube.com/watch?v=ZNYWi_YPo-s&rco=1,Endometriomas,"0,10","5,10",,Endometriomas
Endometriomas_283,https://www.youtube.com/watch?v=ZM527dC1mcM&rco=1,Endometriomas,"0,20","11,20",,Endometriomas
Endometriomas_284,https://www.youtube.com/watch?v=inUVHCLzrQQ&rco=1,Endometriomas,"0,40","9,10",,Endometriomas
Endometriomas_285,https://www.youtube.com/watch?v=LTqttJHzXx0&rco=1,Endometriomas,"2,30","14,20",,Endometriomas
Endometriomas_286,https://www.youtube.com/watch?v=a6XfizONVQU&rco=1,Endometriomas,"0,10","9,40",,Endometriomas
Endometriomas_287,https://www.youtube.com/watch?v=gbsWkWLkBwM&rco=1,Endometriomas,"0,50","37,50",,Endometriomas
Endometriomas_288,https://www.youtube.com/watch?v=98k2q6gp9PI&rco=1,Endometriomas,"13,00","59,00",,Endometriomas
Endometriomas_289,https://www.youtube.com/watch?v=jeJTC3KOhpo&rco=1,Endometriomas,"0,05","8,10",,Endometriomas
Endometriomas_290,https://www.youtube.com/watch?v=b7oS_BP9sLk&rco=1,Endometriomas,"0,05","8,10",,Endometriomas
Myomectomy_291,https://www.youtube.com/watch?v=P6CGXBhCGKs&rco=1,Myomectomy,"0,40","3,50",,Myomectomy
Myomectomy_292,https://www.youtube.com/watch?v=bKz70MsJJQI&rco=1,Myomectomy,"0,00","1,40",,Myomectomy
Myomectomy_293,https://www.youtube.com/watch?v=_UksOZK_jl8&rco=1,Myomectomy,"3,10","21,30",,Myomectomy
Myomectomy_294,https://www.youtube.com/watch?v=Za54bWl08BM&rco=1,Myomectomy,"7,00","21,40",,Myomectomy
Myomectomy_295,https://www.youtube.com/watch?v=TiB4LPZ2GNo&rco=1,Myomectomy,"0,30","8,00",,Myomectomy
Myomectomy_296,https://www.youtube.com/watch?v=3WRatFhFqO0&rco=1,Myomectomy,"0,00","1,40",,Myomectomy
Myomectomy_297,https://www.youtube.com/watch?v=xBFUNFtAgaA&rco=1,Myomectomy,"1,40","14,00",,Myomectomy
Myomectomy_298,https://www.youtube.com/watch?v=hA8cdZZB54Q,Myomectomy,"2,20","6,20",,Myomectomy
Hernia_299,https://www.youtube.com/watch?v=oldvdhamw-o&rco=1,Hernia,"0,00","2,00",,Hernia
Hernia_300,https://www.youtube.com/watch?v=_JUqCnFMCe8&rco=1,Hernia,"0,10","5,00",,Hernia
Hernia_301,https://www.youtube.com/watch?v=hKMDUzrWDe8&rco=1,Hernia,"1,40","7,40",,Hernia
Hernia_302,https://www.youtube.com/watch?v=3pMvB0rnokQ&rco=1,Hernia,"0,30","4,00",,Hernia
Hernia_303,https://www.youtube.com/watch?v=2-0DhY0AyvQ&rco=1,Hernia,"0,40","7,40",,Hernia
Hernia_304,https://www.youtube.com/watch?v=jET_nEe4PNI&rco=1,Hernia,"1,20","10,00",,Hernia
Hernia_305,https://www.youtube.com/watch?v=Nz9Z9sFYHM0&rco=1,Hernia,"1,20","12,30",,Hernia
Hernia_306,https://www.youtube.com/watch?v=lCLGFoQIutA&rco=1,Hernia,"1,00","9,40",,Hernia
Hernia_307,https://www.youtube.com/watch?v=IF8vSnXMDdc&rco=1,Hernia,"0,00","4,20",,Hernia
Hernia_308,https://www.youtube.com/watch?v=iSWXC15kNAs&rco=1,Hernia,"0,00","7,20",,Hernia
Hernia_309,https://www.youtube.com/watch?v=7TMdSTGzDss&rco=1,Hernia,"0,10","5,50",,Hernia
Hernia_310,https://www.youtube.com/watch?v=h0uJwY4ZqN0&rco=1,Hernia,"0,30","6,50",,Hernia
Hernia_311,https://www.youtube.com/watch?v=4Fovw0VZ7bM&rco=1,Hernia,"0,40","9,00",,Hernia
Hernia_312,https://www.youtube.com/watch?v=OXAWnJTifO8&rco=1,Hernia,"1,10","15,50",,Hernia
Hernia_313,https://www.youtube.com/watch?v=xHJNwuGI3PI&rco=1,Hernia,"1,50","32,00",,Hernia
Hernia_314,https://www.youtube.com/watch?v=wmjNkYX3qOM&rco=1,Hernia,"1,30","6,45",,Hernia
Hernia_315,https://www.youtube.com/watch?v=IliLUr9VUPU&rco=1,Hernia,"0,30","9,10",,Hernia
Lap Fundoplication_316,https://www.youtube.com/watch?v=_U8oz9xCamE&rco=1,Lap Fundoplication,"1,20","7,20",,Lap Fundoplication
Lap Fundoplication_317,https://www.youtube.com/watch?v=8Eh-E43nm7k&rco=1,Lap Fundoplication,"1,00","23,00",,Lap Fundoplication
Lap Fundoplication_318,https://www.youtube.com/watch?v=JKC82dQBAs4&rco=1,Lap Fundoplication,"0,00","21,00",,Lap Fundoplication
Lap Fundoplication_319,https://www.youtube.com/watch?v=8lRrtfyKT5U&rco=1,Lap Fundoplication,"0,40","9,30",,Lap Fundoplication
Lap Fundoplication_320,https://www.youtube.com/watch?v=ht7qxMPE00Q&rco=1,Lap Fundoplication,"1,00","13,50",,Lap Fundoplication
Splenectomy_321,https://www.youtube.com/watch?v=QQq8_SIkqk0,Splenectomy,"2,25","4,40",,Splenectomy
Colectomy_322,https://www.youtube.com/watch?v=bCRl1Qpi140,Colectomy,"0,00","17,45",,Colectomy
Prostatectomy_323,https://www.youtube.com/watch?v=PLp7A6lgr0o&ab_channel=AsianInstituteofNephrology%26Urology,Prostatectomy,"13,00","1,13,00",,Prostatectomy
pyeloplasty_324,https://www.youtube.com/watch?v=nUJd6Fw-ttM&ab_channel=AsianInstituteofNephrology%26Urology,pyeloplasty,"10,55","1,08,30",,Pyeloplasty
pyeloplasty_325,https://www.youtube.com/watch?v=BICev81iMgI&ab_channel=AsianInstituteofNephrology%26Urology,pyeloplasty,"10,30","1,08,10",,Pyeloplasty
Hysterectomy_326,https://www.youtube.com/watch?v=UTRAt57UMjk&ab_channel=Dr.R.K.Mishra,Hysterectomy,"6,20","26,35",,Hysterectomy
Hysterectomy_327,https://www.youtube.com/watch?v=jpWRkN1Lbt4&ab_channel=Dr.R.K.Mishra,Hysterectomy,"0,30","19,30",,Hysterectomy
Hysterectomy_328,https://www.youtube.com/watch?v=7kFTv0tyuM0&ab_channel=Dr.R.K.Mishra,Hysterectomy,"0,15","14,30",,Hysterectomy
appendectomy_329,https://www.youtube.com/watch?v=yg6VyT0mbYg&ab_channel=MaxHealthcare,appendectomy,"0,00","0,45",,Appendectomy
Gastrectomy_330,https://www.youtube.com/watch?v=PER5EFFWEAY&ab_channel=mehmetaliyerdel,Gastrectomy,"5,20","55,00",,Gastrectomy
Gastrectomy_331,https://www.youtube.com/watch?v=7eWBbXrDyGU&ab_channel=JohnPilcher%2CBariatricSurgeon,Gastrectomy,"0,05","14,00",,Gastrectomy
Cystectomy_332,https://www.youtube.com/watch?v=jOFXzMbeAps&ab_channel=SLUCare,Cystectomy,"1,10","9,05",,Cystectomy
Cystectomy_333,https://www.youtube.com/watch?v=cbXRFwbyX9g&ab_channel=AUAUniversity,Cystectomy,"0,45","7,40",,Cystectomy
Nephrectomy_334,https://www.youtube.com/watch?v=GQm90mWVMJM&ab_channel=BrighamAndWomen%27sHospital,Nephrectomy,"3,45","21,40",,Nephrectomy
Nephrectomy_335,https://www.youtube.com/watch?v=56Jav9AolC0&ab_channel=BrighamAndWomen%27sHospital,Nephrectomy,"2,40","24,55",,Nephrectomy
Prostatectomy_336,https://www.youtube.com/watch?v=Xr-7w-eiNUk&ab_channel=AsianInstituteofNephrology%26Urology,Prostatectomy,"2,00","54,00",,Prostatectomy
Nephrectomy_337,https://www.youtube.com/watch?v=gNM0XXjtCco&ab_channel=NepeanUrologyResearchGroup,Nephrectomy,"0,25","14,10",,Nephrectomy
Nephrectomy_338,https://www.youtube.com/watch?v=QHx0GMOkolQ&ab_channel=NepeanUrologyResearchGroup,Nephrectomy,"0,50","17,15",,Nephrectomy
Nephrectomy_339,https://www.youtube.com/watch?v=oiwssH_bgpg&ab_channel=SeattleScienceFoundation,Nephrectomy,"4,50","44,15",,Nephrectomy
Nephrectomy_340,https://www.youtube.com/watch?v=KWn-iaapnuo&ab_channel=GrandRoundsinUrology,Nephrectomy,"12,30","16,30",,Nephrectomy
Nephrectomy_341,https://www.youtube.com/watch?v=zNaBE53glfA&ab_channel=Dr.R.K.Mishra,Nephrectomy,"3,20","25,20",,Nephrectomy
Nephrectomy_342,https://www.youtube.com/watch?v=Lwwl4uV7YFQ&ab_channel=Dr.SandeepNayak,Nephrectomy,"1,45","23,30",,Nephrectomy
Nephrectomy_343,https://www.youtube.com/watch?v=iwmETIFTKH8&ab_channel=AsianInstituteofNephrology%26Urology,Nephrectomy,"3,35","55,10",,Nephrectomy
Nephrectomy_344,https://www.youtube.com/watch?v=iwmETIFTKH8&ab_channel=AsianInstituteofNephrology%26Urology,Nephrectomy,"0,35","44,00",,Nephrectomy
Prostatectomy_345,https://www.youtube.com/watch?v=pcM5do8DhSI,Prostatectomy,"1,50","9,25",,Prostatectomy
Prostatectomy_346,https://www.youtube.com/watch?v=c3R8aE2rhW4&ab_channel=BonSecoursSt.FrancisHealthSystem,Prostatectomy,"2,20","17,10",,Prostatectomy
Prostatectomy_347,https://www.youtube.com/watch?v=NitKIjCcS7U&ab_channel=TheProstateClinic,Prostatectomy,"0,05","5,50",,Prostatectomy
Prostatectomy_348,https://www.youtube.com/watch?v=9WacMabNLVs&ab_channel=TheProstateClinic,Prostatectomy,"0,05","15,05",,Prostatectomy
Prostatectomy_349,https://www.youtube.com/watch?v=NTSImQsfci0&ab_channel=TheProstateClinic,Prostatectomy,"0,05","12,55",,Prostatectomy
Prostatectomy_350,https://www.youtube.com/watch?v=yc4AkRBnewE&ab_channel=TheProstateClinic,Prostatectomy,"0,05","9,05",,Prostatectomy
Prostatectomy_351,https://www.youtube.com/watch?v=3i90ixAjKaA&ab_channel=TheProstateClinic,Prostatectomy,"0,05","4,40",,Prostatectomy
Lymphadenectomy_352,https://www.youtube.com/watch?v=AslCUdpSaig&ab_channel=ArtemStepanyan,Lymphadenectomy,"1,40","28,05",,Lymphadenectomy
Lymphadenectomy_353,https://www.youtube.com/watch?v=x582L6hob0U&ab_channel=ColorectalDiseaseJournal,Lymphadenectomy,"0,05","6,20",,Lymphadenectomy
Lymphadenectomy_354,https://www.youtube.com/watch?v=SqUi0MYIhtU&ab_channel=ColorectalDiseaseJournal,Lymphadenectomy,"1,15","7,10",,Lymphadenectomy
Lymphadenectomy_355,https://www.youtube.com/watch?v=DieLiZ3FBCQ&ab_channel=ColorectalDiseaseJournal,Lymphadenectomy,"0,55","9,15",,Lymphadenectomy
Lymphadenectomy_356,https://www.youtube.com/watch?v=gt35qUqTLRQ&ab_channel=NabilMoulay,Lymphadenectomy,"0,00","20,40",,Lymphadenectomy
HemiColectomy_357,https://www.youtube.com/watch?v=s0v31F32WdE&ab_channel=ColorectalDiseaseJournal,HemiColectomy,"1,40","8,05",,HemiColectomy
HemiColectomy_358,https://www.youtube.com/watch?v=Xi28LOKgmoM&ab_channel=Dr.DanielA.Popowich%40MinimallyInvasiveSurgeon,HemiColectomy,"0,00","20,05",,HemiColectomy
Lymphadenectomy_359,https://www.youtube.com/watch?v=IZ9BQ_4O-48&ab_channel=CTSNetVideo,Lymphadenectomy,"0,20","9,05",,Lymphadenectomy
Lymphadenectomy_360,https://www.youtube.com/watch?v=R7Qsw5Y5lOI&ab_channel=ClaymanThyroidCancerCenter,Lymphadenectomy,"0,10","4,55",,Lymphadenectomy
Thyroidectomy_361,https://www.youtube.com/watch?v=IiBg-fSNSxc&ab_channel=ClaymanThyroidCancerCenter,Thyroidectomy,"0,20","4,35",,Thyroidectomy
Thyroidectomy_362,https://www.youtube.com/watch?v=u4Na19ctKGk&ab_channel=ClaymanThyroidCancerCenter,Thyroidectomy,"0,15","18,25",,Thyroidectomy
Thyroidectomy_363,https://www.youtube.com/watch?v=OHb62qQCc9g&ab_channel=ClaymanThyroidCancerCenter,Thyroidectomy,"1,00","4,55",,Thyroidectomy
Thyroid Lobectomy_364,https://www.youtube.com/watch?v=EhQ-yXqB8no&ab_channel=ClaymanThyroidCancerCenter,Thyroid Lobectomy,"0,40","4,10",,Thyroid Lobectomy
Thyroid Lobectomy_365,https://www.youtube.com/watch?v=rLfkz5Fggg4&ab_channel=SurgerybyProf.Chintamani,Thyroid Lobectomy,"2,45","11,00",,Thyroid Lobectomy
Thyroidectomy_366,https://www.youtube.com/watch?v=4KGzvS0_Zvk&ab_channel=DundeeInstituteofHeadandneckEducation-DIHNE,Thyroidectomy,"1,20","7,10",,Thyroidectomy
Lymphadenectomy_367,https://www.youtube.com/watch?v=P1TWSCyQGpQ&ab_channel=AUAUniversity,Lymphadenectomy,"0,15","8,00",,Lymphadenectomy
Lymphadenectomy_368,https://www.youtube.com/watch?v=-pVtn8fUP88&ab_channel=ArtemStepanyan,Lymphadenectomy,"2,50","29,30",,Lymphadenectomy
Mesorectal Excision_369,https://www.youtube.com/watch?v=eMQYZb3mhjU&ab_channel=ColorectalDiseaseJournal,Mesorectal Excision,"2,20","14,00",,Mesorectal Excision
Mesorectal Excision_370,https://www.youtube.com/watch?v=Pa2s7VwPQ64&ab_channel=ColorectalDiseaseJournal,Mesorectal Excision,"2,10","7,00",,Mesorectal Excision
Mesorectal Excision_371,https://www.youtube.com/watch?v=nCCU8QscI9c&ab_channel=ColorectalDiseaseJournal,Mesorectal Excision,"1,45","9,35",,Mesorectal Excision
Mesorectal Excision_372,https://www.youtube.com/watch?v=WtIUn5i9QC8&ab_channel=ColorectalDiseaseJournal,Mesorectal Excision,"0,45","9,15",,Mesorectal Excision
Abdominal Resection_373,https://www.youtube.com/watch?v=JrAKVYlIDOM&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Abdominal Resection,"0,20","5,50",,Abdominal Resection
Abdominal Resection_374,https://www.youtube.com/watch?v=VG9d6ZglHpk&ab_channel=ColorectalDiseaseJournal,Abdominal Resection,"2,25","9,20",,Abdominal Resection
Anterior Resection_375,https://www.youtube.com/watch?v=Q69Ewv1o7UU&ab_channel=ColorectalDiseaseJournal,Anterior Resection,"1,15","9,00",,Anterior Resection
Anterior Resection_376,https://www.youtube.com/watch?v=PT3iEguTsUw,Anterior Resection,"0,25","10,20",,Anterior Resection
Anterior Resection_377,https://www.youtube.com/watch?v=r5C8Ve04bEw&ab_channel=ColorectalDiseaseSurgery,Anterior Resection,"1,40","18,15",,Anterior Resection
Anterior Resection_378,https://www.youtube.com/watch?v=IL3Ab_ZIDGw&ab_channel=ColorectalDiseaseSurgery,Anterior Resection,"2,10","15,05",,Anterior Resection
Colectomy_379,https://www.youtube.com/watch?v=di-3fT-3K70&ab_channel=GIBLIB,Colectomy,"3,30","24,40",,Colectomy
Thyroidectomy_380,https://www.youtube.com/watch?v=wzFAPKu2A8g&ab_channel=IcahnSchoolofMedicine,Thyroidectomy,"1,50","8,00",,Thyroidectomy
Thyroidectomy_381,https://www.youtube.com/watch?v=S20OPanp5qw&ab_channel=SAGES-MinimallyInvasiveSurgeryVideos,Thyroidectomy,"1,30","4,25",,Thyroidectomy
surgical resection_382,https://www.youtube.com/watch?v=EccFvrF1_pE&ab_channel=MicroNeuroSurgeryOrg,surgical resection,"1,15","11,45",,Others
Craniotomy_383,https://www.youtube.com/watch?v=xItILW9OaKM&ab_channel=MicroNeuroSurgeryOrg,Craniotomy,"4,40","18,50",,Craniotomy
Craniotomy_384,https://www.youtube.com/watch?v=cil034xgU0U&ab_channel=MicroNeuroSurgeryOrg,Craniotomy,"1,15","16,35",,Craniotomy
spinal_resection_385,https://www.youtube.com/watch?v=pW-jh_1pR3A&ab_channel=SeattleScienceFoundation,spinal_resection,"0,50","15,50",,Others
surgical_resection_386,https://www.youtube.com/watch?v=e-jceP3O0eY&ab_channel=MicroNeuroSurgeryOrg,surgical_resection,"1,15","7,40",,Others
Craniotomy_387,https://www.youtube.com/watch?v=-sWqNC1LQ_Q&ab_channel=BarrowNeurologicalInstitute,Craniotomy,"1,45","5,45",,Craniotomy
Craniotomy_388,https://www.youtube.com/watch?v=KB7uD004tqs&ab_channel=BarrowNeurologicalInstitute,Craniotomy,"1,35","4,55",,Craniotomy
Aneurysm_389,https://www.youtube.com/watch?v=LD6R--3YLtc&ab_channel=BarrowNeurologicalInstitute,Aneurysm,"4,15","20,30",,Aneurysm
Mesorectal Excision_390,https://www.youtube.com/watch?v=ZBmp1ZWzXpM&ab_channel=DiseasesoftheColonandRectumJournal,Mesorectal Excision,"1,45","6,05",,Mesorectal Excision
Colonoscopy_391,https://www.youtube.com/watch?v=4aK_2QgNEkU&ab_channel=GottumukkalaS.Raju,Colonoscopy,"2,15","20,55",,Colonoscopy
